uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,isUnderutilized,code
http://data.europa.eu/esco/skill/1500f1a7-d348-4d9e-b0a0-5792645f6c7a,LanguageSkill,understand written Javanese,Read and comprehend written texts in Javanese.,skill/competence,transversal,released,Language,low,True,LANG_1500f1a7-d348-4d9e-b0a0-5792645f6c7a
http://data.europa.eu/esco/skill/15db81bb-7ee6-4a5f-838f-0e8a731b1fb7,LanguageSkill,interact verbally in Montenegrin,Communicate orally in Montenegrin.,skill/competence,transversal,released,Language,low,True,LANG_15db81bb-7ee6-4a5f-838f-0e8a731b1fb7
http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,LanguageSkill,Bihari,The Bihari language.,knowledge,transversal,released,Language,low,True,LANG_15ea7b6b-1b93-4ed8-b58a-5c54777e0832
http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,LanguageSkill,Macedonian,The Macedonian language.,knowledge,transversal,released,Language,low,True,LANG_15f261e6-4379-437e-b137-b0c473ae3e74
http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,LanguageSkill,Sardinian,The Sardinian language.,knowledge,transversal,released,Language,low,True,LANG_1627c1b9-31e1-4742-bf5c-cfec2ce33cfc
http://data.europa.eu/esco/skill/1658c54a-05f7-4bde-a2f0-be67bfbda596,LanguageSkill,interact verbally in Icelandic,Communicate orally in Icelandic.,skill/competence,transversal,released,Language,low,True,LANG_1658c54a-05f7-4bde-a2f0-be67bfbda596
http://data.europa.eu/esco/skill/16af0cae-57a8-478b-9095-13d3a170c9e7,LanguageSkill,understand spoken Japanese,Comprehend orally expressed Japanese.,skill/competence,transversal,released,Language,low,True,LANG_16af0cae-57a8-478b-9095-13d3a170c9e7
http://data.europa.eu/esco/skill/16c86dd8-00fa-4fbd-a0a9-bb59f83ebc85,LanguageSkill,write Czech,Compose written texts in Czech.,skill/competence,transversal,released,Language,low,True,LANG_16c86dd8-00fa-4fbd-a0a9-bb59f83ebc85
http://data.europa.eu/esco/skill/1778faed-42eb-4aba-a41a-83989cb6bc6b,LanguageSkill,understand spoken Croatian,Comprehend orally expressed Croatian.,skill/competence,transversal,released,Language,low,True,LANG_1778faed-42eb-4aba-a41a-83989cb6bc6b
http://data.europa.eu/esco/skill/185647bf-e101-4080-9a40-09173d7eefd0,LanguageSkill,interact verbally in Welsh,Communicate orally in Welsh.,skill/competence,transversal,released,Language,low,True,LANG_185647bf-e101-4080-9a40-09173d7eefd0
http://data.europa.eu/esco/skill/18e55722-e209-49a4-9f2c-ff0a789b3a68,LanguageSkill,interact verbally in Tamil,Communicate orally in Tamil.,skill/competence,transversal,released,Language,low,True,LANG_18e55722-e209-49a4-9f2c-ff0a789b3a68
http://data.europa.eu/esco/skill/1988ce17-ce7a-44b9-9fce-5aaea5f811f5,LanguageSkill,write Armenian,Compose written texts in Armenian.,skill/competence,transversal,released,Language,low,True,LANG_1988ce17-ce7a-44b9-9fce-5aaea5f811f5
http://data.europa.eu/esco/skill/19b04a30-2e1d-4893-a86c-bde277765c7f,LanguageSkill,write Lithuanian,Compose written texts in Lithuanian.,skill/competence,transversal,released,Language,low,True,LANG_19b04a30-2e1d-4893-a86c-bde277765c7f
http://data.europa.eu/esco/skill/1a61a520-f4a5-48fe-9087-3d0e46943d8e,LanguageSkill,understand written Irish,Read and comprehend written texts in Irish.,skill/competence,transversal,released,Language,low,True,LANG_1a61a520-f4a5-48fe-9087-3d0e46943d8e
http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,LanguageSkill,Estonian,The Estonian language. Estonian is an official and working language of the EU.,knowledge,transversal,released,Language,low,True,LANG_1b7e6f56-bc73-4bcc-81ae-09252175d418
http://data.europa.eu/esco/skill/1d3c5ca3-e154-4a43-883e-7496e8886cd6,LanguageSkill,write Romanian,Compose written texts in Romanian.,skill/competence,transversal,released,Language,low,True,LANG_1d3c5ca3-e154-4a43-883e-7496e8886cd6
http://data.europa.eu/esco/skill/1d5526b3-f17b-46fc-ba7d-f4a32d908a7e,LanguageSkill,understand spoken German,Comprehend orally expressed German.,skill/competence,transversal,released,Language,low,True,LANG_1d5526b3-f17b-46fc-ba7d-f4a32d908a7e
http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,LanguageSkill,Malay,The Malay language.,knowledge,transversal,released,Language,low,True,LANG_1f90c205-f869-4dcf-a374-c4fdeded9cbc
http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,LanguageSkill,Chinese,The Chinese language.,knowledge,transversal,released,Language,low,True,LANG_1fe42b38-cd42-4fc7-ae77-14e4c9e96295
http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,LanguageSkill,Marathi,The Marathi language.,knowledge,transversal,released,Language,low,True,LANG_2080075c-0488-4fbf-a786-734dbbef31ce
http://data.europa.eu/esco/skill/20d51474-58e1-4fb3-aec3-57bdc187c5ce,LanguageSkill,write Turkish,Compose written texts in Turkish.,skill/competence,transversal,released,Language,low,True,LANG_20d51474-58e1-4fb3-aec3-57bdc187c5ce
http://data.europa.eu/esco/skill/214da014-b85e-4bb5-961d-1198a05e6b67,LanguageSkill,understand written Macedonian,Read and comprehend written texts in Macedonian.,skill/competence,transversal,released,Language,low,True,LANG_214da014-b85e-4bb5-961d-1198a05e6b67
http://data.europa.eu/esco/skill/2203ac44-f4a7-4d34-a55f-1af107415988,LanguageSkill,understand written Punjabi,Read and comprehend written texts in Punjabi.,skill/competence,transversal,released,Language,low,True,LANG_2203ac44-f4a7-4d34-a55f-1af107415988
http://data.europa.eu/esco/skill/222bf50b-6739-48b1-a655-658306c3529f,LanguageSkill,write Romani,Compose written texts in Burlgarian Romani.,skill/competence,transversal,released,Language,low,True,LANG_222bf50b-6739-48b1-a655-658306c3529f
http://data.europa.eu/esco/skill/227accd5-5e70-4cc3-8f1c-3f7b52eb6848,LanguageSkill,interact verbally in Arabic,Communicate orally in Arabic.,skill/competence,transversal,released,Language,low,True,LANG_227accd5-5e70-4cc3-8f1c-3f7b52eb6848
http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,LanguageSkill,Montenegrin,The Montenegrin language.,knowledge,transversal,released,Language,low,True,LANG_2358a146-6e8f-43cb-872f-a12ac9c57d60
http://data.europa.eu/esco/skill/237420c1-1882-4ce0-aa48-41a8e61977e5,LanguageSkill,understand spoken Vietnamese,Comprehend orally expressed Vietnamese.,skill/competence,transversal,released,Language,low,True,LANG_237420c1-1882-4ce0-aa48-41a8e61977e5
http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,LanguageSkill,Slovak,The Slovak language. Slovak is an official and working language of the EU.,knowledge,transversal,released,Language,low,True,LANG_246980fe-6222-4852-ade8-b372f7e0fd20
http://data.europa.eu/esco/skill/25fcf0ff-1615-44b8-a81a-e6e8ce9deed7,LanguageSkill,interact verbally in Hindi,Communicate orally in Hindi.,skill/competence,transversal,released,Language,low,True,LANG_25fcf0ff-1615-44b8-a81a-e6e8ce9deed7
http://data.europa.eu/esco/skill/2704b00a-5d70-40ad-997d-212b323fb32d,LanguageSkill,understand written Turkish,Read and comprehend written texts in Turkish.,skill/competence,transversal,released,Language,low,True,LANG_2704b00a-5d70-40ad-997d-212b323fb32d
http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,LanguageSkill,Danish,The Danish language. Danish is an official and working language of the EU.,knowledge,transversal,released,Language,low,True,LANG_273a28d6-1bd3-4d13-a906-3d75c1cfdfc1
http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,LanguageSkill,Kurdish,The ​Kurdish language.,knowledge,transversal,released,Language,low,True,LANG_2874065e-6ca3-430c-912a-467da3c23704
http://data.europa.eu/esco/skill/29c954f2-ed17-4900-bba5-4cfd294f3680,LanguageSkill,interact verbally in Turkish,Communicate orally in Turkish.,skill/competence,transversal,released,Language,low,True,LANG_29c954f2-ed17-4900-bba5-4cfd294f3680
http://data.europa.eu/esco/skill/2abb9db5-350c-444c-8292-0e0b2ce00f9a,LanguageSkill,interact verbally in German,Communicate orally in German.,skill/competence,transversal,released,Language,low,True,LANG_2abb9db5-350c-444c-8292-0e0b2ce00f9a
http://data.europa.eu/esco/skill/2ac8e77b-6441-4337-b9a7-ba3d8e270cba,LanguageSkill,interact verbally in Kazakh,Communicate orally in Kazakh.,skill/competence,transversal,released,Language,low,True,LANG_2ac8e77b-6441-4337-b9a7-ba3d8e270cba
http://data.europa.eu/esco/skill/2adb5796-fe66-4971-a57b-b9936a7cab68,LanguageSkill,understand spoken Malay,Comprehend orally expressed Malay.,skill/competence,transversal,released,Language,low,True,LANG_2adb5796-fe66-4971-a57b-b9936a7cab68
http://data.europa.eu/esco/skill/2b7b97d3-9d77-45d4-a254-bb6c3047de78,LanguageSkill,interact verbally in Persian,Communicate orally in Persian.,skill/competence,transversal,released,Language,low,True,LANG_2b7b97d3-9d77-45d4-a254-bb6c3047de78
http://data.europa.eu/esco/skill/2ba106ed-4b44-45cf-8626-ff9a952b24ce,LanguageSkill,understand spoken Telugu,Comprehend orally expressed Telugu.,skill/competence,transversal,released,Language,low,True,LANG_2ba106ed-4b44-45cf-8626-ff9a952b24ce
http://data.europa.eu/esco/skill/2ce713f2-c684-4fa3-8e56-939e4bfbf4a2,LanguageSkill,understand spoken French,Comprehend orally expressed French.,skill/competence,transversal,released,Language,low,True,LANG_2ce713f2-c684-4fa3-8e56-939e4bfbf4a2
http://data.europa.eu/esco/skill/2eac15c1-fe9a-4b53-9f4e-b74747d665e5,LanguageSkill,understand written Malay,Read and comprehend written texts in Malay.,skill/competence,transversal,released,Language,low,True,LANG_2eac15c1-fe9a-4b53-9f4e-b74747d665e5
http://data.europa.eu/esco/skill/2edc3686-dc8b-498d-a174-a1f91917f86d,LanguageSkill,understand written Maltese,Read and comprehend written texts in Maltese.,skill/competence,transversal,released,Language,low,True,LANG_2edc3686-dc8b-498d-a174-a1f91917f86d
http://data.europa.eu/esco/skill/2f566fb0-89f0-4d15-bd20-e00c93adff35,LanguageSkill,understand written Georgian,Read and comprehend written texts in Georgian.,skill/competence,transversal,released,Language,low,True,LANG_2f566fb0-89f0-4d15-bd20-e00c93adff35
http://data.europa.eu/esco/skill/2f7f7a05-88ec-4c8a-937f-381dce6b00fd,LanguageSkill,write Korean,Compose written texts in Korean.,skill/competence,transversal,released,Language,low,True,LANG_2f7f7a05-88ec-4c8a-937f-381dce6b00fd
http://data.europa.eu/esco/skill/3048bf6d-27c7-4dc6-ae4b-e55094cec090,LanguageSkill,interact verbally in Finnish,Communicate orally in Finnish.,skill/competence,transversal,released,Language,low,True,LANG_3048bf6d-27c7-4dc6-ae4b-e55094cec090
http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,LanguageSkill,Arabic,The Arabic language.,knowledge,transversal,released,Language,low,True,LANG_33859d93-987c-4caa-a0a9-6159ea7bbc2a
http://data.europa.eu/esco/skill/3388229a-0bcb-4778-9fa8-d69ac2cede71,LanguageSkill,understand written Luxembourgish,Read and comprehend written texts in Luxembourgish.,skill/competence,transversal,released,Language,low,True,LANG_3388229a-0bcb-4778-9fa8-d69ac2cede71
http://data.europa.eu/esco/skill/34085657-5d64-4a68-abef-e5b7df3b3d46,LanguageSkill,understand written Catalan,Read and comprehend written texts in ​Catalan.,skill/competence,transversal,released,Language,low,True,LANG_34085657-5d64-4a68-abef-e5b7df3b3d46
http://data.europa.eu/esco/skill/347d33a8-3698-4549-a7de-722a0216ee40,LanguageSkill,understand spoken Dutch,Comprehend orally expressed Dutch.,skill/competence,transversal,released,Language,low,True,LANG_347d33a8-3698-4549-a7de-722a0216ee40
http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,LanguageSkill,Ukrainian,The Ukrainian language.,knowledge,transversal,released,Language,low,True,LANG_354b948c-7eef-4ebc-bfd6-f60d7d5acb62
http://data.europa.eu/esco/skill/37624859-cbb6-43cb-a523-aa450877821a,LanguageSkill,write Latin,Compose written texts in Latin.,skill/competence,transversal,released,Language,low,True,LANG_37624859-cbb6-43cb-a523-aa450877821a
http://data.europa.eu/esco/skill/37992d18-8d7e-4122-ad52-fa5d2d52ebde,LanguageSkill,understand written Urdu,Read and comprehend written texts in Urdu.,skill/competence,transversal,released,Language,low,True,LANG_37992d18-8d7e-4122-ad52-fa5d2d52ebde
http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be,LanguageSkill,write English,Compose written texts in English.,skill/competence,transversal,released,Language,low,True,LANG_3993c87c-7719-4186-811b-8ddfb40e76be
http://data.europa.eu/esco/skill/39a7d447-5a30-41b1-967d-bdcde3288c9e,LanguageSkill,write Slovak,Compose written texts in Slovak.,skill/competence,transversal,released,Language,low,True,LANG_39a7d447-5a30-41b1-967d-bdcde3288c9e
http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,LanguageSkill,Japanese,The Japanese language.,knowledge,transversal,released,Language,low,True,LANG_39c675c4-af13-49db-bbed-cf762102f85e
http://data.europa.eu/esco/skill/3a0814b1-5851-43f9-b886-1e496fefcf9c,LanguageSkill,understand written Finnish,Read and comprehend written texts in Finnish.,skill/competence,transversal,released,Language,low,True,LANG_3a0814b1-5851-43f9-b886-1e496fefcf9c
http://data.europa.eu/esco/skill/3a660148-e0d6-4b07-b107-10200ebb1b23,LanguageSkill,write Azerbaijani,Compose written texts in Azerbaijani.,skill/competence,transversal,released,Language,low,True,LANG_3a660148-e0d6-4b07-b107-10200ebb1b23
http://data.europa.eu/esco/skill/3c98d1d7-52cd-44e7-8083-c02a981e3872,LanguageSkill,interact verbally in Georgian,Communicate orally in Georgian.,skill/competence,transversal,released,Language,low,True,LANG_3c98d1d7-52cd-44e7-8083-c02a981e3872
http://data.europa.eu/esco/skill/3cb08443-192d-475b-89ce-15901ed1a900,LanguageSkill,interact verbally in Slovak,Communicate orally in Slovak.,skill/competence,transversal,released,Language,low,True,LANG_3cb08443-192d-475b-89ce-15901ed1a900
http://data.europa.eu/esco/skill/3cc1fa63-1b28-44df-a93c-d09b12389a2f,LanguageSkill,interact verbally in Basque,Communicate orally in ​Basque.,skill/competence,transversal,released,Language,low,True,LANG_3cc1fa63-1b28-44df-a93c-d09b12389a2f
http://data.europa.eu/esco/skill/3cccda28-82cc-4e47-9442-af0cb4d64016,LanguageSkill,write Serbian,Compose written texts in Serbian.,skill/competence,transversal,released,Language,low,True,LANG_3cccda28-82cc-4e47-9442-af0cb4d64016
http://data.europa.eu/esco/skill/40842478-ad09-4be9-a889-97299b013609,LanguageSkill,write Hebrew,Compose written texts in Hebrew.,skill/competence,transversal,released,Language,low,True,LANG_40842478-ad09-4be9-a889-97299b013609
http://data.europa.eu/esco/skill/41253322-dc32-4d79-941c-3a8c230a1d85,LanguageSkill,write Berber,Compose written texts in Berber.,skill/competence,transversal,released,Language,low,True,LANG_41253322-dc32-4d79-941c-3a8c230a1d85
http://data.europa.eu/esco/skill/416ca9da-3a58-4522-89a2-5746576feddd,LanguageSkill,write Vietnamese,Compose written texts in Vietnamese.,skill/competence,transversal,released,Language,low,True,LANG_416ca9da-3a58-4522-89a2-5746576feddd
http://data.europa.eu/esco/skill/421910b5-70e1-429e-8b32-0df5518b7ddd,LanguageSkill,understand written Czech,Read and comprehend written texts in Czech.,skill/competence,transversal,released,Language,low,True,LANG_421910b5-70e1-429e-8b32-0df5518b7ddd
http://data.europa.eu/esco/skill/4264f3aa-037e-44f4-bb08-90d2337953ee,LanguageSkill,write Portuguese,Compose written texts in Portuguese.,skill/competence,transversal,released,Language,low,True,LANG_4264f3aa-037e-44f4-bb08-90d2337953ee
http://data.europa.eu/esco/skill/42b7c03a-3ed5-4dc1-adc0-ff1fb8d4d697,LanguageSkill,write Danish,Compose written texts in Danish.,skill/competence,transversal,released,Language,low,True,LANG_42b7c03a-3ed5-4dc1-adc0-ff1fb8d4d697
http://data.europa.eu/esco/skill/450e047f-bb60-4eaa-bbcf-5e7af43e7f2a,LanguageSkill,write Bulgarian,Compose written texts in Bulgarian.,skill/competence,transversal,released,Language,low,True,LANG_450e047f-bb60-4eaa-bbcf-5e7af43e7f2a
http://data.europa.eu/esco/skill/45289df8-d02d-4f08-9802-2c7deae944ad,LanguageSkill,Sanskrit,The Sanskrit language.,knowledge,cross-sector,released,Language,low,True,LANG_45289df8-d02d-4f08-9802-2c7deae944ad
http://data.europa.eu/esco/skill/45ab3524-935d-4bc0-a7f3-1cf3be7e5987,LanguageSkill,write Georgian,Compose written texts in Georgian.,skill/competence,transversal,released,Language,low,True,LANG_45ab3524-935d-4bc0-a7f3-1cf3be7e5987
http://data.europa.eu/esco/skill/46d20520-381c-40c9-9de5-f635d0755923,LanguageSkill,understand written Bulgarian,Read and comprehend written texts in Bulgarian.,skill/competence,transversal,released,Language,low,True,LANG_46d20520-381c-40c9-9de5-f635d0755923
http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,LanguageSkill,German,The German language.,knowledge,transversal,released,Language,low,True,LANG_4812a4ea-dc55-4dc6-b9b0-4a59bba2c647
http://data.europa.eu/esco/skill/486e4f39-e968-41f4-955e-56e9eba96ef5,LanguageSkill,understand written German,Read and comprehend written texts in German.,skill/competence,transversal,released,Language,low,True,LANG_486e4f39-e968-41f4-955e-56e9eba96ef5
http://data.europa.eu/esco/skill/49edb5ac-b80c-4c02-8509-d0e05889031e,LanguageSkill,understand spoken Kurdish,Comprehend orally expressed ​Kurdish.,skill/competence,transversal,released,Language,low,True,LANG_49edb5ac-b80c-4c02-8509-d0e05889031e
http://data.europa.eu/esco/skill/4aaa3e87-2b29-4a83-bdff-cbe51db03fc5,LanguageSkill,write Montenegrin,Compose written texts in Montenegrin.,skill/competence,transversal,released,Language,low,True,LANG_4aaa3e87-2b29-4a83-bdff-cbe51db03fc5
http://data.europa.eu/esco/skill/4b873879-6d5e-46b6-80e2-1ef313b4e0ac,LanguageSkill,write Japanese,Compose written texts in Japanese.,skill/competence,transversal,released,Language,low,True,LANG_4b873879-6d5e-46b6-80e2-1ef313b4e0ac
http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,LanguageSkill,Romanian,The Romanian language. Romanian is an official and working language of the EU.,knowledge,transversal,released,Language,low,True,LANG_4b9f1ae5-0ee6-4738-8999-9b8191fba808
http://data.europa.eu/esco/skill/4c5a2793-c18d-40b9-832d-af8e07f0f171,LanguageSkill,write Icelandic,Compose written texts in Icelandic.,skill/competence,transversal,released,Language,low,True,LANG_4c5a2793-c18d-40b9-832d-af8e07f0f171
http://data.europa.eu/esco/skill/4c6fe11c-f912-4c81-b74c-2e72943abeb6,LanguageSkill,understand written Lithuanian,Read and comprehend written texts in Lithuanian.,skill/competence,transversal,released,Language,low,True,LANG_4c6fe11c-f912-4c81-b74c-2e72943abeb6
http://data.europa.eu/esco/skill/4c92020a-110b-4daf-b1ec-c4e17c3b9b2c,LanguageSkill,understand spoken Chinese,Comprehend orally expressed Chinese.,skill/competence,transversal,released,Language,low,True,LANG_4c92020a-110b-4daf-b1ec-c4e17c3b9b2c
http://data.europa.eu/esco/skill/4ddf697a-b1e9-4ae6-931e-920de761f9df,LanguageSkill,interact verbally in Walloon,Communicate orally in ​Walloon.,skill/competence,transversal,released,Language,low,True,LANG_4ddf697a-b1e9-4ae6-931e-920de761f9df
