uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,isUnderutilized,code
http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,TransversalSkill,carry out calculations,Solve mathematical problems to achieve work-related goals.,skill/competence,transversal,released,Transversal,low,True,TRV_19ba11f3-9c99-41fd-a7c9-f77e6a026186
http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512,TransversalSkill,manage frustration,Stay calm and react in a constructive way to own or others' anger or when faced with obstacles or complaints.,skill/competence,transversal,released,Transversal,low,True,TRV_1d1fedcb-4995-44ac-90f5-f31a157ce512
http://data.europa.eu/esco/skill/1dabb413-18e8-48ed-a963-44978e67ad32,TransversalSkill,calculate probabilities,Predict the probability of an outcome based on calculations or experience.,skill/competence,transversal,released,Transversal,low,True,TRV_1dabb413-18e8-48ed-a963-44978e67ad32
http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419,TransversalSkill,manage financial and material resources,"Undertake effective financial planning, using credit, savings, investments and pensions to achieve short and long term goals, using financial advices and guidance services with a critical mindset, comparing deals and offers when acquiring products or services and actively selecting appropriate insurance products.",skill/competence,transversal,released,Transversal,low,True,TRV_1ddc021d-d818-4731-904f-842d7491f419
http://data.europa.eu/esco/skill/1fce1197-3a5b-45b7-8797-575cd3b57a01,TransversalSkill,show commitment,"Show willingness to take on tasks immediately, even if they are difficult or uncomfortable. ",skill/competence,transversal,released,Transversal,low,True,TRV_1fce1197-3a5b-45b7-8797-575cd3b57a01
http://data.europa.eu/esco/skill/20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1,TransversalSkill,think quickly,Be able to grasp and process the most important aspects of facts and their connections quickly and accurately.,skill/competence,transversal,released,Transversal,low,True,TRV_20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1
http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821,TransversalSkill,evaluate environmental impact of personal behaviour,Adopt a sustainability-oriented mindset in you daily life and reflect on your personal ecological attitude and on the environmental impact of your behaviour.,skill/competence,transversal,released,Transversal,low,True,TRV_2aaad52d-599e-4e77-a681-bbc236825821
http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae,TransversalSkill,manage quality,"Pursue excellence in workplace processes, products and activities.",skill/competence,transversal,released,Transversal,low,True,TRV_35ebe444-9ece-4fbc-a55d-e99ea37267ae
http://data.europa.eu/esco/skill/409a0245-0e6c-4aac-ba16-0920ecb76a8d,TransversalSkill,exercise self-reflection,"Effectively, regularly and systematically reflect on own actions, performance, and attitudes, and make necessary adjustments, seeking professional development opportunities to plug knowledge and practice gaps in identified areas. Evaluate the impact of your own professional development.",skill/competence,transversal,released,Transversal,low,True,TRV_409a0245-0e6c-4aac-ba16-0920ecb76a8d
http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,TransversalSkill,demonstrate curiosity,"Show a lively interest in novelty, an openness to experience, find subjects and topics fascinating, actively explore and discover new areas.",skill/competence,transversal,released,Transversal,low,True,TRV_429062f1-a958-43ea-83dd-4e1af078c156
http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,TransversalSkill,manage personal progression,Take charge of and market your own skills and competences to advance in work and private life.,skill/competence,transversal,released,Transversal,low,True,TRV_468135b7-5757-48c3-9509-fde0e13ec5be
http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,TransversalSkill,approach challenges positively,Adopt a positive attitude and a constructive approach when dealing with challenges.,skill/competence,transversal,released,Transversal,low,True,TRV_469748ce-051a-407e-9099-0c9415ac2705
http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,TransversalSkill,think analytically,"Produce thoughts using logic and reasoning in order to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.",skill/competence,transversal,released,Transversal,low,True,TRV_4707da90-9cfc-46ca-8de0-38a0b7bfb137
http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,TransversalSkill,adapt to change,Alter one's attitude or behaviour to accommodate modifications in the workplace.,skill/competence,transversal,released,Transversal,low,True,TRV_49de9958-2aa4-4eef-a89d-fe5d5bcd28c4
http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4,TransversalSkill,adopt ways to reduce negative impact of consumption,"Apply principles, policies and regulations aimed at environmental sustainability, including the reduction of waste, energy and water consumption, the reuse and recycling of products, and the engagement in the sharing economy.",skill/competence,transversal,released,Transversal,low,True,TRV_4c3ab565-747c-4db3-8c47-79e8d6f98cf4
http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d,TransversalSkill,maintain psychological well-being,"Be able to avoid threats to psychological well-being, for example while using digital technologies, including the maintenance of a healthy work-life-learn balance. ",skill/competence,transversal,released,Transversal,low,True,TRV_4c772721-9280-49cb-9988-b6ea3d36b06d
http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,TransversalSkill,protect the health of others,"Prevent harm from and support recovery of family members, wards, and fellow citizens, including adequate responses in case of accidents like the provision of first aid.",skill/competence,transversal,released,Transversal,low,True,TRV_4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5
http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c,TransversalSkill,moderate a discussion,"Apply moderation techniques and methods to lead discussions between two or more people, including situations such as workshops, conferences or online events. Ensure the correctness and politeness of the debate.",skill/competence,transversal,released,Transversal,low,True,TRV_5b46f572-7ced-4efd-b270-a81a164d521c
http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d,TransversalSkill,"apply knowledge of science, technology and engineering","Develop and apply an understanding of the physical world and its governing principles, for example by making reasonable predictions about causes and effects, conceiving tests of these predictions and carrying out measurements using suitable units, tools and equipment.",skill/competence,transversal,released,Transversal,low,True,TRV_5c3ab99d-a3f1-4620-9602-d12d2151a03d
http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,TransversalSkill,process spatial information,"Be able to mentally imagine the position and relationship of bodies in three-dimensional spaces, developing a good sense of proportion. ",skill/competence,transversal,released,Transversal,low,True,TRV_5c526c52-4f0a-4647-8c51-c91568acebb1
http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf,TransversalSkill,respect the diversity of cultural values and norms,Demonstrate intercultural competence and respect for one's own cultural values and norms. Show tolerance of and appreciation for the different values and norms held by different people and cultures and developed under different circumstances or in different times and places.,skill/competence,transversal,released,Transversal,low,True,TRV_5ca953f7-541d-4f67-bc55-7721348366cf
http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,TransversalSkill,cope with uncertainty,Tolerate and work constructively within unexpected and unpredictable situations.,skill/competence,transversal,released,Transversal,low,True,TRV_5cd1930c-278d-4929-b413-27352f5b3687
http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a,TransversalSkill,address an audience,"Speak in a structured, deliberate and face-to-face manner to a group of listeners to inform, influence, or entertain them.",skill/competence,transversal,released,Transversal,low,True,TRV_609a8ac1-9d29-4237-9886-596dbbe7ca8a
http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,TransversalSkill,work in teams,Work confidently within a group with each doing their part in the service of the whole.,skill/competence,transversal,released,Transversal,low,True,TRV_60c78287-22eb-4103-9c8c-28deaa460da0
http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,TransversalSkill,show confidence,Demonstrate degrees of maturity by fully understanding one's own qualities and abilities which can serve as sources of confidence in different situations.,skill/competence,transversal,released,Transversal,low,True,TRV_669b75d8-671c-4a1c-8e0b-6466c513c27d
http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b,TransversalSkill,instruct others,Guide or teach others by providing relevant knowledge and support.,skill/competence,transversal,released,Transversal,low,True,TRV_699e7c26-6502-4e78-a823-3656ff5a5b8b
http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc,TransversalSkill,operate digital hardware,"Use equipment such as monitor, mouse, keyboard, storage devices, printers and scanners to perform operations such as plugging in, starting up, shutting down, rebooting, saving files and other operations.",skill/competence,transversal,released,Transversal,low,True,TRV_6b2f8802-0cbf-436e-a37f-ca55ede41bbc
http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401,TransversalSkill,"organise information, objects and resources","Understand your tasks and the processes that go with them. Organize information, objects and resources using systematic methods and according to given standards and ensure that the task is mastered. ",skill/competence,transversal,released,Transversal,low,True,TRV_6b305973-8993-475f-bd8a-daf037c61401
http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13,TransversalSkill,interpret mathematical information,"Demonstrate an understanding of mathematical terms and concepts, and apply basic mathematical principles and processes to interpret data and facts.",skill/competence,transversal,released,Transversal,low,True,TRV_6fc6f757-6baa-49fe-9a82-6ba6a52f2e13
http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1,TransversalSkill,demonstrate loyalty,"Demonstrate inner attachment to a group or organization, including by sharing and representing their values.",skill/competence,transversal,released,Transversal,low,True,TRV_72d1fa5d-1b7f-48e7-84e3-6e779841ddf1
http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,TransversalSkill,lead others,"Guide, coach and direct others towards the achievement of common goals, embracing a leadership role often in a group or team. Perform, act, and behave in a manner that inspires collaborators to follow the example given by their managers.",skill/competence,transversal,released,Transversal,low,True,TRV_75d8e5d9-bef3-418b-9011-01bff9f27207
http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,TransversalSkill,show empathy,Show empathy in order to prevent any kind of symbolic violence and isolation and to guarantee a considerate attention to everyone. It should include a capacity to understand various verbal and non-verbal communication of sentiment and feeling.,skill/competence,transversal,released,Transversal,low,True,TRV_77b636e8-fab3-41a8-8022-1e0a354059dc
http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,TransversalSkill,negotiate compromises,"Communicate with others with the intention of reaching a common understanding or to resolve a point of difference, without losing sight of one's own or others' intentions or goals.
",skill/competence,transversal,released,Transversal,low,True,TRV_7954861c-86d4-4529-afbb-2c23dab9ac74
http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,TransversalSkill,cope with stress,"Handle challenges, disruption and change and recover from set-backs and adversity.",skill/competence,transversal,released,Transversal,low,True,TRV_7a147904-22b3-498a-b4d9-7bceeb86b45d
http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,TransversalSkill,work efficiently,"Achieve objectives using minimum amount of time, effort, or cost.",skill/competence,transversal,released,Transversal,low,True,TRV_7a93e22f-54d8-4bf0-9213-d711f6601b49
http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,TransversalSkill,participate actively in civic life,"Actively engage in activities for the common or public interest such as civic, community or neighbourhood initiatives, volunteering opportunities and non-governmental organisations.",skill/competence,transversal,released,Transversal,low,True,TRV_7d9bace0-63d0-4848-ac87-350a98082c12
http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,TransversalSkill,think critically,Make and defend judgements based on internal evidence and external criteria. Critically evaluate the credibility and reliability of information before using or passing it on to others. Develop independent and critical thinking.,skill/competence,transversal,released,Transversal,low,True,TRV_7dd94ad3-13d6-43fe-8b94-51fcbf67ced9
http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,TransversalSkill,engage others in environment friendly behaviours,Inform about and promote environmental friendly behaviours in social networks and at work.,skill/competence,transversal,released,Transversal,low,True,TRV_7f321b88-3d16-4e30-8163-5494ca8ce978
http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,TransversalSkill,attend to detail,"Accomplish a task with concern for all the areas involved, no matter how small.",skill/competence,transversal,released,Transversal,low,True,TRV_83e6510b-ffeb-4aec-959c-4265fd0ff7b7
http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,TransversalSkill,make an informed use of the health-care system,Identify and select the right preventive and curative services or agencies that offer healthcare services and manage safely the appropriate medications. ,skill/competence,transversal,released,Transversal,low,True,TRV_88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c
http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,TransversalSkill,promote the principles of democracy and rule of law,"Take an active role in promoting the principles of democracy, social justice and the rule of law. Confront discrimination based on ethnic, cultural or sexual identity or orientation as well as social, educational, or economic background, by assessing and voicing the implications for different groups of any planned action, including legislation, policies or programmes.",skill/competence,transversal,released,Transversal,low,True,TRV_896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37
http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,TransversalSkill,express yourself creatively,"Be able to use singing, dancing, instrumental music, acting or fine arts to express oneself creatively.",skill/competence,transversal,released,Transversal,low,True,TRV_93350886-a21b-4e61-a1b1-319a325c0f90
http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,TransversalSkill,resolve conflicts,"Mediate in conflicts and tense situations by acting between parties, striving to effect an agreement, reconciliate, and resolve problems. Settle a conflict in such a way that none of the victims feels badly treated and avoid arguments in advance.",skill/competence,transversal,released,Transversal,low,True,TRV_96de2e86-e287-41f2-88ab-15a2343afc6f
http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,TransversalSkill,appreciate diverse cultural and artistic expression,"Demonstrate asthetic sensibility, interest for and opennes to cultural expressions from different cultural backgrounds.",skill/competence,transversal,released,Transversal,low,True,TRV_98a999db-72d5-4657-a0b0-2f850afd4368
http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,TransversalSkill,demonstrate willingness to learn,Show a positive attitude towards new and challenging demands that can only be met via lifelong learning.,skill/competence,transversal,released,Transversal,low,True,TRV_9bf266a6-188b-4d17-a22f-2f266d76832b
http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,TransversalSkill,"use equipment, tools or technology with precision","Use workpieces, tools, precision instrumentation or equipment independently to carry out manual activities, with or without minimal training. ",skill/competence,transversal,released,Transversal,low,True,TRV_9c0f93f7-2592-4d4d-9673-fd640502345f
http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,TransversalSkill,maintain concentration for long periods,"Stay concentrated over a long period of time in order to make correct judgements and appropriate decisions.
",skill/competence,transversal,released,Transversal,low,True,TRV_9cfd2219-553c-4d67-81e5-951e87c65135
http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,TransversalSkill,identify problems,Identify and detect problems and issues and decide on the best course of action. Report problems accordingly when needed.,skill/competence,transversal,released,Transversal,low,True,TRV_a628d2d1-f40a-4c37-a357-2801726f2996
http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,TransversalSkill,maintain physical fitness,"Adopt and apply preventive healthy behaviours, including regular physical exercise, a healthy sleep-routine, and a healthy diet.",skill/competence,transversal,released,Transversal,low,True,TRV_a68bdf1e-b325-4880-b456-192c2891931a
http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,TransversalSkill,solve problems,"Find solutions to practical, operational or conceptual problems in a wide range of contexts.",skill/competence,transversal,released,Transversal,low,True,TRV_adc6dc11-3376-467b-96c5-9b0a21edc869
http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,TransversalSkill,delegate responsibilities,"Delegate responsibilities, activities and tasks to others according to the ability, level of preparation and competence. Make sure that people understand what they should do and when they should do it. ",skill/competence,transversal,released,Transversal,low,True,TRV_b00e948c-19be-4951-8cff-60f88f1046e9
http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,TransversalSkill,use communication and collaboration software,"Use simple digital tools and technologies for communicating, interacting and collaborating with others.",skill/competence,transversal,released,Transversal,low,True,TRV_b080a008-a35d-4bd0-92e9-edf3773bb2b7
http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,TransversalSkill,build team spirit,"Build a relationship of mutual trust, respect and cooperation among members of the same team.",skill/competence,transversal,released,Transversal,low,True,TRV_b19e0820-a96f-4c0a-a724-3c056180c1b3
http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,TransversalSkill,improvise,Be able to improvise and react immediately and without planning ahead to situations that you did not know before. ,skill/competence,transversal,released,Transversal,low,True,TRV_b40584aa-7c63-4eed-9422-a9798fb95fdc
http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,TransversalSkill,comply with regulations,"Comply with and respect the rules, regulations and guidelines relating to a specific domain or sector and apply them in your daily work.",skill/competence,transversal,released,Transversal,low,True,TRV_b618584f-6bdf-4d8f-89a7-f28c2c95afc2
http://data.europa.eu/esco/skill/b6bdf202-524f-475d-b813-2aa9af005c37,TransversalSkill,move objects,"Perform physical activities to move, load, unload or store objects or to climb structures, by hand or with the aid of equipment.",skill/competence,transversal,released,Transversal,low,True,TRV_b6bdf202-524f-475d-b813-2aa9af005c37
http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2,TransversalSkill,conduct web searches,"Search data, information and content through simple searches in digital environments.",skill/competence,transversal,released,Transversal,low,True,TRV_ba93b71b-c433-4a01-8246-ed2daa85a9a2
http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,TransversalSkill,manage digital identity,"Create and manage one or multiple digital identities, be able to protect one's own reputation, deal with the data that one produces through several digital tools, environments and services.",skill/competence,cross-sector,released,Transversal,low,True,TRV_bc0b0b5d-f6be-405a-b224-b6902a4dbe97
http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,TransversalSkill,demonstrate trustworthiness,"Demonstrate honesty, integrity and credibility in the workplace. Show loyalty to your team and organisation and prove trustworthiness.",skill/competence,transversal,released,Transversal,low,True,TRV_bcf002ce-90f8-42e5-ac1b-5dba208639b0
http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,TransversalSkill,show entrepreneurial spirit,"Develop, organise and manage an own business venture, identifying and pursuing opportunities and mobilising resources, keeping in mind a profitability perspective. Demonstrate a proactive attitude and determination to achieve success in business ",skill/competence,transversal,released,Transversal,low,True,TRV_bdcf429c-5ccf-4c3d-bb61-4c987573a35e
http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,TransversalSkill,report facts,Relay information or recount events orally.,skill/competence,transversal,released,Transversal,low,True,TRV_be6ab363-3de1-427f-a8ef-85d5b0250822
http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,TransversalSkill,apply basic programming skills,List simple instructions for a computing system to solve problems or perform tasks at a basic level and with appropriate guidance where needed.,skill/competence,transversal,released,Transversal,low,True,TRV_bf4d884f-c848-402a-b130-69c266b04164
http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f,TransversalSkill,build networks,"Demonstrate the ability to build effective relationships, to develop and maintain alliances, contacts or partnerships, and to exchange information with others.",skill/competence,transversal,released,Transversal,low,True,TRV_bf983f2a-e941-4646-811d-cc81060cb53f
http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,TransversalSkill,demonstrate intercultural competence,"Understand and respect people who are perceived to have different cultural affinities, and respond effectively and respectfully to them.",skill/competence,transversal,released,Transversal,low,True,TRV_c10d5d87-36cf-42f5-8a12-e560fb5f4af8
http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,TransversalSkill,work independently,"Develop one's own ways of doing things, motivating oneself with little or no supervision, and depending on oneself to get things done.",skill/competence,transversal,released,Transversal,low,True,TRV_c29aa9d2-4da8-4bdd-831c-8d4a2fb51730
http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,TransversalSkill,think innovatively,Develop ideas or conclusions that lead to the creation and implementation of innovations or changes. ,skill/competence,transversal,released,Transversal,low,True,TRV_c2a0c52c-0b4b-4180-a918-92650ea3b458
http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,TransversalSkill,demonstrate awareness of health risks ,"Be able to judge and manage risks to personal health, for example by following safety precautions in work practices, applying fire protection measures, respecting and applying ergonomics and taking account of the effects of drugs and alcohol on individuals, families and communities.",skill/competence,transversal,released,Transversal,low,True,TRV_c4180af3-befd-4bd8-9a65-6a496f9d9f15
http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,TransversalSkill,think creatively,"Generate new ideas or combine existing ones to develop innovative, novel solutions.",skill/competence,transversal,released,Transversal,low,True,TRV_c624c6a3-b0ba-4a31-a296-0d433fe47e41
http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,TransversalSkill,think holistically,"Take into account indirect and long-term consequences when planning and making decisions. Consider the effects on other people, processes and the environment and include these in your planning. ",skill/competence,transversal,released,Transversal,low,True,TRV_d56e2c2f-3e01-4b76-a7bb-ecb6d430172f
http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,TransversalSkill,make decisions,Make a choice from several alternative possibilities.,skill/competence,transversal,released,Transversal,low,True,TRV_d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47
http://data.europa.eu/esco/skill/d822b4b2-26c7-4bd9-970d-229c6504f615,TransversalSkill,create digital content,"Create and edit simple items of digital content, where needed with guidance.",skill/competence,transversal,released,Transversal,low,True,TRV_d822b4b2-26c7-4bd9-970d-229c6504f615
http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,TransversalSkill,manage time,"Plan the time sequence of events, programmes and activities, as well as the work of others.",skill/competence,transversal,released,Transversal,low,True,TRV_d9013e0e-e937-43d5-ab71-0e917ee882b8
http://data.europa.eu/esco/skill/d9449998-c1f5-478c-a103-2255398cf0b6,TransversalSkill,apply hygiene standards,"Take personal responsibility to guarantee a safe and non-infectious work and life environment, including the use of masks, disinfectants and general personal hygiene.",skill/competence,transversal,released,Transversal,low,True,TRV_d9449998-c1f5-478c-a103-2255398cf0b6
http://data.europa.eu/esco/skill/db33c0f3-43ee-4ba3-ba47-9269ac837697,TransversalSkill,critically evaluate information and its sources ,Be able to evaluate and analyse information and its sources. Demonstrate the ability to access and have a critical understanding of both traditional and new forms of media and their role and function in democratic societies.,skill/competence,transversal,released,Transversal,low,True,TRV_db33c0f3-43ee-4ba3-ba47-9269ac837697
http://data.europa.eu/esco/skill/dcc99418-d896-4b3b-8596-658093a17a8f,TransversalSkill,manage chronic health conditions,"Identify and use ways to minimise negative effects of chronic health conditions, including the use of seeing, hearing and walking aids, appropriate medications and adequate social and medical support.",skill/competence,transversal,released,Transversal,low,True,TRV_dcc99418-d896-4b3b-8596-658093a17a8f
http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28,TransversalSkill,apply knowledge of social sciences and humanities,"Demonstrate an understanding of the nature, plurality and function of social and political groups, and their relation with the socioeconomic dimension of the society. Understand the role and place of individuals in society.",skill/competence,transversal,released,Transversal,low,True,TRV_deb3c1bc-d48a-42e6-b0cc-cb238534ec28
http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,TransversalSkill,"promote ideas, products, services ","Present and advertise products, programs and services with the goal of persuading and influencing others.",skill/competence,transversal,released,Transversal,low,True,TRV_df5e3d02-9f0f-44ee-91c2-85c62f161868
http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507,TransversalSkill,motivate others,Direct other people's behaviour by providing them with a convincing reason for action.,skill/competence,transversal,released,Transversal,low,True,TRV_e2d44a9b-f28c-489e-9861-b654b5ded507
http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c,TransversalSkill,respect confidentiality obligations,"Observe the necessary discretion and restraint when dealing with confidential, secret or unpleasant information. ",skill/competence,transversal,released,Transversal,low,True,TRV_e37d64dc-0f05-4ee8-b065-bf76f70d8f5c
